"session_date","session_month","session_week","session_count","week_txn_counts"
"2024-12-31","12","1","502","168290529"
"2024-12-31","12","1","79","168290529"
"2024-12-31","12","1","149","168290529"
"2024-12-31","12","1","86","168290529"
"2024-12-31","12","1","46","168290529"
"2024-12-31","12","1","175","168290529"
"2024-12-31","12","1","367","168290529"
"2024-12-31","12","1","117","168290529"
"2024-12-31","12","1","39","168290529"
"2024-12-31","12","1","208","168290529"
"2024-12-31","12","1","110","168290529"
"2024-12-31","12","1","12","168290529"
"2024-12-31","12","1","207","168290529"
"2024-12-31","12","1","25","168290529"
"2024-12-31","12","1","20","168290529"
"2024-12-31","12","1","45","168290529"
"2024-12-31","12","1","49","168290529"
"2024-12-31","12","1","8","168290529"
"2024-12-31","12","1","409","168290529"
"2024-12-31","12","1","22","168290529"
"2024-12-31","12","1","64","168290529"
"2024-12-31","12","1","67","168290529"
"2024-12-31","12","1","42","168290529"
"2024-12-31","12","1","2","168290529"
"2024-12-31","12","1","19","168290529"
"2024-12-31","12","1","167","168290529"
"2024-12-31","12","1","33","168290529"
"2024-12-31","12","1","93","168290529"
"2024-12-31","12","1","4","168290529"
"2024-12-31","12","1","50","168290529"
"2024-12-31","12","1","29","168290529"
"2024-12-31","12","1","76","168290529"
"2024-12-31","12","1","74","168290529"
"2024-12-31","12","1","38","168290529"
"2024-12-31","12","1","108","168290529"
"2024-12-31","12","1","59","168290529"
"2024-12-31","12","1","61","168290529"
"2024-12-31","12","1","3","168290529"
"2024-12-31","12","1","60","168290529"
"2024-12-31","12","1","6","168290529"
"2024-12-31","12","1","15","168290529"
"2024-12-31","12","1","32","168290529"
"2024-12-31","12","1","130","168290529"
"2024-12-31","12","1","62","168290529"
"2024-12-31","12","1","48","168290529"
"2024-12-31","12","1","54","168290529"
"2024-12-31","12","1","56","168290529"
"2024-12-31","12","1","34","168290529"
"2024-12-31","12","1","92","168290529"
"2024-12-31","12","1","116","168290529"
"2024-12-31","12","1","63","168290529"
"2024-12-31","12","1","73","168290529"
"2024-12-31","12","1","17","168290529"
"2024-12-31","12","1","84","168290529"
"2024-12-31","12","1","119","168290529"
"2024-12-31","12","1","136","168290529"
"2024-12-30","12","1","60","168290529"
"2024-12-30","12","1","107","168290529"
"2024-12-30","12","1","324","168290529"
"2024-12-30","12","1","170","168290529"
"2024-12-30","12","1","15","168290529"
"2024-12-30","12","1","309","168290529"
"2024-12-30","12","1","203","168290529"
"2024-12-30","12","1","37","168290529"
"2024-12-30","12","1","41","168290529"
"2024-12-30","12","1","28","168290529"
"2024-12-30","12","1","40","168290529"
"2024-12-30","12","1","5","168290529"
"2024-12-30","12","1","64","168290529"
"2024-12-30","12","1","13","168290529"
